stock_name,2013,2014,2015,2016,2017,2018,2019,2020
노루홀딩스,400.0,400.0,400.0,450.0,450.0,450.0,400.0,450.0
노바렉스,74.0,100.0,150.0,150.0,200.0,200.0,200.0,300.0
노바텍,,,,0.0,0.0,0.0,242.0,300.0
노터스,,,,,,,0.0,150.0
녹십자,1250.0,1250.0,1750.0,1250.0,1250.0,1000.0,1000.0,1500.0
녹십자랩셀,,,,75.0,50.0,35.0,25.0,100.0
녹십자셀,0.0,0.0,0.0,50.0,50.0,100.0,100.0,100.0
녹십자엠에스,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
녹십자웰빙,,,,,,,80.0,50.0
녹십자홀딩스,250.0,300.0,300.0,300.0,300.0,250.0,325.0,500.0
녹원씨엔아이,,,,,,,,
농심,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
농심홀딩스,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
농우바이오,250.0,250.0,0.0,0.0,200.0,350.0,200.0,200.0
누리플랜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
누리플렉스,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
뉴로스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
뉴보텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
뉴인텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
뉴지랩파마,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
뉴트리,,,,0.0,200.0,100.0,150.0,250.0
뉴파워프라즈마,,,,130.0,280.0,0.0,0.0,50.0
뉴프렉스,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
다나와,220.0,220.0,250.0,300.0,230.0,320.0,400.0,600.0
다날,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
다믈멀티미디어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
다보링크,,,,,,,,
다산네트웍스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
다스코,100.0,100.0,150.0,200.0,250.0,200.0,0.0,0.0
다우기술,,,,250.0,300.0,350.0,400.0,500.0
다우데이타,,,,100.0,130.0,160.0,180.0,250.0
다원시스,60.0,60.0,50.0,50.0,50.0,50.0,100.0,100.0
다이나믹디자인,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
대교,,,,,,,,
대구백화점,,,,250.0,200.0,150.0,100.0,100.0
대덕,,,,,,,,
대덕전자,,,,,,,0.0,300.0
대동,,,,,,,,
대동금속,,,,,,,,
대동기어,300.0,300.0,300.0,200.0,250.0,250.0,25.0,40.0
대동스틸,30.0,30.0,30.0,50.0,70.0,50.0,30.0,30.0
대동전자,,,,,,,,
